budget,population,poolsize,approx_welfare,approx_error,approx_time,greedy_welfare,greedy_error,greedy_time,diff,ratio
12,16,5,1574.148460501538,3.2905828935502086,11143718 milliseconds,1573.9082033868463,0.0,219 milliseconds,0.24025711469175803,1.0001526500174374
2,17,5,344.3914302232625,0.5400603148405594,284 milliseconds,344.403247238129,0.0,39 milliseconds,-0.011817014866494446,0.9999656884336566
4,17,5,646.3368486521898,1.0801206296811188,782 milliseconds,646.5100938718166,0.0,66 milliseconds,-0.17324521962677863,0.9997320301395617
6,17,5,902.8042412830191,1.6201809445216782,3229 milliseconds,902.5442834310702,0.0,115 milliseconds,0.2599578519489114,1.0002880278084092
8,17,5,1130.4752021468935,2.1602412593622375,4548 milliseconds,1130.159935289366,0.0,145 milliseconds,0.3152668575273765,1.000278957736585
10,17,5,1337.8253434224519,2.700301574202797,16677 milliseconds,1337.7991976414216,0.0,172 milliseconds,0.026145781030209037,1.0000195438755504
12,17,5,1524.1138365917132,3.2403618890433563,65967 milliseconds,1524.180689997258,0.0,221 milliseconds,-0.06685340554486174,0.999956138136388
2,18,5,367.3959737599306,0.5351910114405882,259 milliseconds,367.3667102377806,0.0,30 milliseconds,0.029263522150017707,1.0000796575229451
4,18,5,684.7171436839934,1.0703820228811765,719 milliseconds,685.0111794691945,0.0,61 milliseconds,-0.2940357852011175,0.9995707576839418
6,18,5,976.9664471016799,1.6055730343217647,1955 milliseconds,977.027577610207,0.0,90 milliseconds,-0.06113050852707147,0.9999374321565451
8,18,5,1237.1204384634177,2.140764045762353,9975 milliseconds,1237.2011364362024,0.0,119 milliseconds,-0.08069797278471924,0.9999347737644203
10,18,5,1473.0687554073318,2.675955057202941,19329 milliseconds,1473.1247410726583,0.0,154 milliseconds,-0.05598566532648874,0.9999619952989958
12,18,5,1679.7850671279575,3.2111460686435294,202019 milliseconds,1679.7863634122639,0.0,221 milliseconds,-0.0012962843063633045,0.9999992283040662
2,19,5,366.37638221182544,0.5791361125724279,277 milliseconds,366.37638221182544,0.0,35 milliseconds,0.0,1.0
4,19,5,685.4849756170211,1.1582722251448558,871 milliseconds,684.9461100106557,0.0,65 milliseconds,0.5388656063653343,1.0007867270117892
6,19,5,978.2492919133822,1.7374083377172838,2027 milliseconds,977.5186513763321,0.0,91 milliseconds,0.7306405370501352,1.000747444088173
8,19,5,1243.336280570479,2.3165444502897117,10396 milliseconds,1242.3398001019507,0.0,119 milliseconds,0.9964804685282616,1.0008020997704867
10,19,5,1483.1170282628607,2.8956805628621396,39199 milliseconds,1482.1121681996528,0.0,151 milliseconds,1.0048600632078433,1.0006779919123316
12,19,5,1698.678673402916,3.4748166754345675,44314 milliseconds,1697.0225014036212,0.0,214 milliseconds,1.6561719992948838,1.0009759281317279
2,20,5,383.791126417394,0.5787939917530593,252 milliseconds,383.564147272087,0.0,30 milliseconds,0.2269791453070411,1.0005917631950778
4,20,5,691.4423696603404,1.1575879835061187,886 milliseconds,689.502897132581,0.0,86 milliseconds,1.939472527759449,1.0028128562415402
6,20,5,967.7234931765947,1.736381975259178,5421 milliseconds,966.5197210999022,0.0,117 milliseconds,1.2037720766925304,1.0012454707859686
8,20,5,1204.899760765828,2.3151759670122374,8147 milliseconds,1203.1946770437332,0.0,143 milliseconds,1.7050837220947415,1.0014171303735186
10,20,5,1406.3680536084628,2.8939699587652967,10880 milliseconds,1405.1102638855562,0.0,199 milliseconds,1.2577897229066366,1.0008951537507302
12,20,5,1582.9390270094561,3.472763950518356,68197 milliseconds,1581.6585459936487,0.0,317 milliseconds,1.2804810158074815,1.000809581195038
